time,NYE05.wind_speed_100m,NYE05.wave_height,RUWRF.wind_speed_100m,RUWRF.wind_dir_100m,NOAA.wave_height,NOAA.wave_dir,NOAA.wind_speed_10m,NOAA.wind_dir_10m
2019-08-15 16:00:00+00:00,8.460433333333333,1.04,7.114878455854168,67.37844015839875,1.2,155.49,6.86,73.4
2019-08-15 17:00:00+00:00,8.296333333333335,1.13,6.391823557619643,74.00499253498593,1.21,154.21,6.74,80.38
2019-08-15 18:00:00+00:00,8.452516666666666,1.11,5.9250324800902,71.27031234030504,1.22,152.93,6.61,87.36
2019-08-15 19:00:00+00:00,8.153616666666666,1.17,6.364489268440432,79.61494740474659,1.21,153.44,6.43,85.49
2019-08-15 20:00:00+00:00,7.952183333333333,1.18,7.299975785795894,88.53533675639767,1.21,153.94,6.24,83.62
2019-08-15 21:00:00+00:00,7.800066666666666,1.3,7.8755160376578175,100.84341504077517,1.2,154.45,6.06,81.75
2019-08-15 22:00:00+00:00,7.916216666666667,1.15,7.898103950371058,102.35195545274419,1.2,155.11,5.88,85.67
2019-08-15 23:00:00+00:00,7.509716666666666,1.31,8.661958681404826,107.4088494669372,1.21,155.77,5.69,89.58
2019-08-16 00:00:00+00:00,7.103766666666668,1.35,8.548504825615241,110.03419678915388,1.21,156.43,5.51,93.5
2019-08-16 01:00:00+00:00,7.550249999999999,1.32,6.84139405028779,96.88760970844051,1.21,157.0,5.61,97.61
2019-08-16 02:00:00+00:00,7.210100000000001,1.2,6.578441819556214,97.52603911969636,1.2,157.56,5.72,101.71
2019-08-16 03:00:00+00:00,6.8357,1.26,6.203860411604785,99.77641799497604,1.2,158.13,5.82,105.82
2019-08-16 04:00:00+00:00,4.62715,1.36,5.864333434747538,109.07447505784755,1.18,159.32,5.23,105.33
2019-08-16 05:00:00+00:00,4.621383333333334,1.36,5.495012116358064,108.78568306647095,1.17,160.51,4.63,104.85
2019-08-16 06:00:00+00:00,4.72505,1.18,4.449568289501453,98.77263016653689,1.15,161.7,4.04,104.36
2019-08-16 07:00:00+00:00,4.7493,1.29,4.7905590619702885,104.65653916045609,1.14,163.05,4.07,99.77
2019-08-16 08:00:00+00:00,4.024466666666666,1.15,4.451860831478883,109.70557842014654,1.12,164.41,4.11,95.19
2019-08-16 09:00:00+00:00,4.712283333333334,1.12,3.9222539031220975,115.65610625549601,1.11,165.76,4.14,90.6
2019-08-16 10:00:00+00:00,4.511983333333334,1.12,3.3369461445190853,110.95569250465886,1.09,166.29,4.32,84.61
2019-08-16 11:00:00+00:00,4.9728,1.07,2.906294025336972,93.92358321761391,1.08,166.83,4.5,78.63
2019-08-16 12:00:00+00:00,5.47185,0.99,3.604331255023801,77.97525512675531,1.06,167.36,4.68,72.64
2019-08-16 13:00:00+00:00,5.107583333333333,1.12,3.883522301997056,85.41479008859795,1.04,167.64,4.82,77.79
2019-08-16 14:00:00+00:00,5.745116666666668,1.07,4.463506817846969,88.3316028702153,1.03,167.91,4.97,82.94
2019-08-16 15:00:00+00:00,5.497916666666666,0.99,4.861876293805062,100.6637423457806,1.01,168.19,5.11,88.09
2019-08-16 16:00:00+00:00,5.8316333333333334,0.96,3.931782149182845,98.04129589937996,1.0,168.34,5.02,92.57
2019-08-16 17:00:00+00:00,4.825466666666666,0.96,4.1617132307159945,107.64901837326914,0.98,168.48,4.94,97.04
2019-08-16 18:00:00+00:00,4.106283333333333,0.91,4.67129018936649,116.47381125924556,0.97,168.63,4.85,101.52
2019-08-16 19:00:00+00:00,4.071833333333333,0.95,3.9190744517894167,115.39999615631086,0.96,169.18,5.13,99.24
2019-08-16 20:00:00+00:00,4.715133333333333,0.86,4.351560512745361,117.38628683700944,0.96,169.73,5.42,96.97
2019-08-16 21:00:00+00:00,5.223533333333333,0.81,5.282687833853291,123.49351463339953,0.95,170.28,5.7,94.69
2019-08-16 22:00:00+00:00,6.2549166666666665,0.86,6.779937554340547,133.21240677424768,0.95,170.98,5.53,96.46
2019-08-16 23:00:00+00:00,6.5802000000000005,0.85,7.495475520999778,132.48468685108895,0.96,171.68,5.36,98.22
2019-08-17 00:00:00+00:00,6.51755,0.88,7.183165349972426,135.60361025585695,0.96,172.38,5.19,99.99
